fromNode,toNode,numTrips,avgFare,avgTip,avgDistance,tolls
151,100,243,19.128065843621446,2.007078189300412,3.9784773662551443,0.0
151,101,1,76.56,0.0,21.89,5.76
151,106,3,44.04333333333333,4.743333333333333,12.01,0.0
151,107,162,26.65895061728399,3.117716049382716,5.779382716049381,0.0
151,108,1,66.56,0.0,20.1,5.76
151,114,71,30.788732394366203,4.378873239436623,6.86605633802817,0.0
151,112,6,31.070000000000004,2.02,7.096666666666667,0.0
151,113,167,27.775209580838368,3.151017964071853,6.197844311377248,0.0
151,119,30,20.58866666666667,0.38599999999999995,5.853,0.0
151,116,794,13.21075566750627,1.0965869017632253,2.5784760705289664,0.0
151,123,2,57.93,2.75,19.36,0.0
151,120,9,20.42444444444445,2.2911111111111113,4.743333333333333,0.0
151,126,8,26.101250000000004,0.0,7.0424999999999995,0.0
151,127,126,23.814444444444476,2.0957936507936514,6.581904761904767,0.0
151,124,1,58.56,0.0,19.39,5.76
151,125,33,27.76333333333333,2.901212121212121,6.6493939393939385,0.0
151,130,5,55.99400000000001,3.184,14.802000000000001,5.76
151,131,3,66.32,13.26,16.060000000000002,5.76
151,128,9,26.41555555555556,3.7266666666666666,6.978888888888889,0.0
151,129,35,36.30657142857143,3.0494285714285714,8.414571428571426,0.0
151,134,7,49.06,1.0,13.365714285714287,5.76
151,135,3,47.94333333333333,3.1366666666666667,13.896666666666667,0.0
151,132,346,68.03294797687867,8.838236994219656,19.450000000000017,5.76
151,133,2,48.97,0.0,15.045,5.76
151,138,420,41.70754761904758,5.888785714285707,8.972952380952375,5.76
151,139,18,79.12722222222222,0.0,21.630555555555556,5.76
151,136,6,25.706666666666667,0.0,7.683333333333334,0.0
151,137,159,25.345974842767344,2.605660377358491,5.637547169811322,0.0
151,142,4196,11.891978074356784,1.4551072449952258,1.9294518589132486,0.0
151,143,2187,11.904320987654133,1.418975765889344,1.9051120256058538,0.0
151,140,816,18.406715686274378,2.0373529411764695,3.2478063725490167,0.0
151,141,825,16.9834424242423,2.00010909090909,2.9806909090909124,0.0
151,146,13,22.37153846153847,0.8407692307692307,5.593846153846154,0.0
151,147,5,28.391999999999996,0.8939999999999999,7.468000000000001,0.0
151,144,63,31.27746031746031,4.0252380952380955,7.306031746031746,0.0
151,145,28,25.366428571428568,3.108571428571429,5.605714285714287,0.0
151,151,3901,8.402665983080928,0.9153114586003592,0.6756703409382193,0.0
151,148,49,33.01183673469385,3.2281632653061227,7.893061224489797,0.0
151,149,1,50.28,0.0,15.72,0.0
151,152,587,10.578517887563958,0.9326916524701876,1.7922998296422497,0.0
151,153,5,28.056,0.0,7.7219999999999995,0.0
151,158,94,24.117659574468075,3.0841489361702124,5.703404255319148,0.0
151,159,24,19.189166666666676,0.89125,4.0266666666666655,0.0
151,157,2,41.93,0.0,10.355,0.0
